Name;Unit
Acetic acid;g
Alcohol;g
Alpha carotene;ug
Alpha tocopherol (vitamin E);mg
Alpha tocotrienol;mg
Aluminium [Al];ug
Antimony [Sb];ug
Arsenic [As];ug
Ash;g
Beta carotene;ug
Beta carotene equivalents;ug
Beta tocopherol;mg
Beta tocotrienol;mg
Biotin (vitamin B7);ug
Cadmium [Cd];ug
Caffeine;mg
Calcium [Ca];mg
Carbohydrate;g
Carotene;ug
Chloride;mg
Cholecalciferol (vitamin D3);ug
Cholesterol;mg
Chromium [Cr];ug
Citric acid;g
Cobalamin (vitamin B12);ug
Cobalt [Co];ug
Copper [Cu];mg
Cryptoxanthin (provitamin A);ug
DHA fatty acid;g
DPA fatty acid;g
Delta tocopherol (vitamin E);mg
Delta tocotrienol (vitamin E);mg
Dextrin;g
Disaccharides;g
EPA fatty acid;g
Energy;kJ
Fat;g
Fiber;g
Fluoride [F];ug
Folate (vitamin B9);ug
Folate equivalent;ug
Folic acid (vitamin B9);ug
Fructose;g
Fumaric acid;g
Galactose;g
Gamma tocopherol (vitamin E);mg
Gamma tocotrienol (vitamin E);mg
Glucose;g
Glycerol;g
Glycogen;g
Inulin;g
Iodine [I];ug
Iron [Fe];mg
Lactic acid;g
Lactose;g
Lead [Pb];ug
Lutein;ug
Lycopene;ug
Magnesium [Mg];mg
Malic acid;g
Maltodextrin;g
Maltose;g
Maltotriose;g
Manganese [Mn];mg
Mannitol;g
Mercury [Hg];ug
Molybdenum [Mo];ug
Monosaccharides;g
Niacin (vitamin B3);mg
Niacin equivalents;mg
Nickel [Ni];ug
Nitrogen [N];g
Oligosaccharides;g
Oxalic acid;g
Pantothenic acid (vitamin B5);mg
Phosphorus [P];mg
Potassium [K];mg
Propionic acid;g
Protein;g
Pyridoxine (vitamin B6);mg
Quinic acid;g
Raffinose;g
Retinal;ug
Retinol (vitamin A);ug
Retinol equivalents (Vitamin A);ug
Riboflavin (vitamin B2);mg
Salt;g
Selenium [Se];ug
Shikimic acid;g
Sodium [Na];mg
Sorbitol;g
Stachyose;g
Starch;g
Succinic acid;g
Sucrose;g
Sulphur [S];mg
Tartaric acid;g
Thiamin (vitamin B1);mg
Tin [Sn];ug
Total folates;ug
Total monounsaturated fatty acids;g
Total n-3 polyunsaturated fatty acids;g
Total n-6 polyunsaturated fatty acids;g
Total polyunsaturated fatty acids;g
Total saturated fatty acids;g
Total sugars;g
Total trans fatty acids;g
Tryptophan (mg);mg
Undifferentiated fatty acids;g
Vitamin C;mg
Vitamin D;ug
Vitamin E;mg
Vitamin K;ug
Vitamin K1;ug
Waste;%
Water;g
Wholegrain total;g
Xanthophyl;ug
Zinc [Zn];mg
